F	M	total	prop_M
0.0	12.0	12.0	1.0
0.0	23.0	23.0	1.0
0.0	5.0	5.0	1.0
0.0	3426.0	3426.0	1.0
0.0	6.0	6.0	1.0
453.0	0.0	453.0	0.0
0.0	313.0	313.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
0.0	18.0	18.0	1.0
0.0	97.0	97.0	1.0
300.0	0.0	300.0	0.0
0.0	69.0	69.0	1.0
0.0	14.0	14.0	1.0
124.0	0.0	124.0	0.0
0.0	125.0	125.0	1.0
7.0	0.0	7.0	0.0
0.0	170.0	170.0	1.0
5.0	0.0	5.0	0.0
0.0	289.0	289.0	1.0
5.0	0.0	5.0	0.0
99.0	0.0	99.0	0.0
10.0	0.0	10.0	0.0
267.0	0.0	267.0	0.0
51.0	0.0	51.0	0.0
237.0	0.0	237.0	0.0
0.0	15.0	15.0	1.0
331.0	0.0	331.0	0.0
69254.0	6.0	69260.0	8.66300895178e-05
27.0	0.0	27.0	0.0
5.0	0.0	5.0	0.0
172.0	0.0	172.0	0.0
97.0	0.0	97.0	0.0
10.0	0.0	10.0	0.0
5.0	0.0	5.0	0.0
0.0	635.0	635.0	1.0
11.0	0.0	11.0	0.0
22.0	0.0	22.0	0.0
6.0	0.0	6.0	0.0
22.0	0.0	22.0	0.0
5.0	0.0	5.0	0.0
453.0	0.0	453.0	0.0
1495.0	0.0	1495.0	0.0
120.0	0.0	120.0	0.0
458.0	0.0	458.0	0.0
25.0	0.0	25.0	0.0
0.0	2914.0	2914.0	1.0
5.0	0.0	5.0	0.0
0.0	12.0	12.0	1.0
6.0	0.0	6.0	0.0
0.0	17.0	17.0	1.0
78.0	0.0	78.0	0.0
6.0	0.0	6.0	0.0
0.0	23.0	23.0	1.0
0.0	8.0	8.0	1.0
52.0	0.0	52.0	0.0
0.0	173.0	173.0	1.0
506.0	0.0	506.0	0.0
0.0	98.0	98.0	1.0
102.0	0.0	102.0	0.0
1793.0	549071.0	550864.0	0.996745113131
0.0	16.0	16.0	1.0
0.0	5.0	5.0	1.0
0.0	6.0	6.0	1.0
0.0	145.0	145.0	1.0
22.0	0.0	22.0	0.0
0.0	1107.0	1107.0	1.0
200.0	0.0	200.0	0.0
5.0	0.0	5.0	0.0
0.0	564.0	564.0	1.0
0.0	5.0	5.0	1.0
5.0	0.0	5.0	0.0
143.0	0.0	143.0	0.0
162.0	0.0	162.0	0.0
5.0	0.0	5.0	0.0
12.0	0.0	12.0	0.0
5.0	0.0	5.0	0.0
0.0	17.0	17.0	1.0
107.0	0.0	107.0	0.0
61.0	0.0	61.0	0.0
0.0	579.0	579.0	1.0
0.0	5.0	5.0	1.0
7.0	0.0	7.0	0.0
0.0	513.0	513.0	1.0
16.0	0.0	16.0	0.0
0.0	477.0	477.0	1.0
6.0	0.0	6.0	0.0
0.0	95.0	95.0	1.0
3851.0	0.0	3851.0	0.0
5.0	0.0	5.0	0.0
5.0	0.0	5.0	0.0
0.0	16.0	16.0	1.0
0.0	6.0	6.0	1.0
0.0	17.0	17.0	1.0
65.0	0.0	65.0	0.0
0.0	377.0	377.0	1.0
370.0	0.0	370.0	0.0
14404.0	0.0	14404.0	0.0
296.0	0.0	296.0	0.0
12946.0	5.0	12951.0	0.000386070573701
5.0	0.0	5.0	0.0
9419.0	0.0	9419.0	0.0
699.0	0.0	699.0	0.0
212.0	0.0	212.0	0.0
0.0	67.0	67.0	1.0
52511.0	14.0	52525.0	0.00026653974298
5.0	0.0	5.0	0.0
1795.0	0.0	1795.0	0.0
112.0	0.0	112.0	0.0
18.0	0.0	18.0	0.0
216.0	0.0	216.0	0.0
0.0	6.0	6.0	1.0
0.0	293.0	293.0	1.0
0.0	30.0	30.0	1.0
0.0	65.0	65.0	1.0
0.0	16.0	16.0	1.0
0.0	94.0	94.0	1.0
0.0	15.0	15.0	1.0
0.0	2300.0	2300.0	1.0
0.0	11.0	11.0	1.0
0.0	5.0	5.0	1.0
0.0	6.0	6.0	1.0
0.0	33.0	33.0	1.0
0.0	10.0	10.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
0.0	833.0	833.0	1.0
0.0	17.0	17.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
0.0	28.0	28.0	1.0
0.0	26.0	26.0	1.0
0.0	154.0	154.0	1.0
0.0	269.0	269.0	1.0
0.0	10.0	10.0	1.0
0.0	3716.0	3716.0	1.0
0.0	155.0	155.0	1.0
0.0	5.0	5.0	1.0
0.0	183.0	183.0	1.0
0.0	26.0	26.0	1.0
0.0	4150.0	4150.0	1.0
0.0	639.0	639.0	1.0
0.0	16.0	16.0	1.0
0.0	688.0	688.0	1.0
0.0	16.0	16.0	1.0
0.0	6.0	6.0	1.0
0.0	119.0	119.0	1.0
0.0	3897.0	3897.0	1.0
6.0	0.0	6.0	0.0
32.0	0.0	32.0	0.0
37.0	0.0	37.0	0.0
0.0	37316.0	37316.0	1.0
0.0	2998.0	2998.0	1.0
108.0	0.0	108.0	0.0
0.0	265.0	265.0	1.0
161.0	0.0	161.0	0.0
85.0	0.0	85.0	0.0
0.0	5.0	5.0	1.0
20.0	0.0	20.0	0.0
10.0	0.0	10.0	0.0
0.0	144.0	144.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
0.0	842.0	842.0	1.0
0.0	223.0	223.0	1.0
0.0	213.0	213.0	1.0
16.0	0.0	16.0	0.0
0.0	37.0	37.0	1.0
0.0	34.0	34.0	1.0
0.0	386.0	386.0	1.0
438.0	0.0	438.0	0.0
40.0	0.0	40.0	0.0
318263.0	114.0	318377.0	0.00035806606633
16.0	0.0	16.0	0.0
39.0	0.0	39.0	0.0
3619.0	0.0	3619.0	0.0
5.0	0.0	5.0	0.0
4187.0	5.0	4192.0	0.0011927480916
7.0	0.0	7.0	0.0
220.0	0.0	220.0	0.0
0.0	318.0	318.0	1.0
5.0	0.0	5.0	0.0
0.0	28.0	28.0	1.0
0.0	341.0	341.0	1.0
0.0	88.0	88.0	1.0
0.0	3161.0	3161.0	1.0
0.0	11.0	11.0	1.0
0.0	120.0	120.0	1.0
0.0	6.0	6.0	1.0
67.0	0.0	67.0	0.0
6.0	74072.0	74078.0	0.999919004293
0.0	390.0	390.0	1.0
0.0	51.0	51.0	1.0
0.0	48.0	48.0	1.0
0.0	9552.0	9552.0	1.0
0.0	976.0	976.0	1.0
5.0	0.0	5.0	0.0
48.0	0.0	48.0	0.0
0.0	5.0	5.0	1.0
6.0	0.0	6.0	0.0
116.0	0.0	116.0	0.0
0.0	27.0	27.0	1.0
1003.0	0.0	1003.0	0.0
2361.0	0.0	2361.0	0.0
22.0	0.0	22.0	0.0
380.0	0.0	380.0	0.0
1747.0	0.0	1747.0	0.0
5576.0	0.0	5576.0	0.0
5.0	0.0	5.0	0.0
0.0	5.0	5.0	1.0
6.0	0.0	6.0	0.0
0.0	29.0	29.0	1.0
0.0	65.0	65.0	1.0
0.0	30.0	30.0	1.0
0.0	66.0	66.0	1.0
10.0	0.0	10.0	0.0
1143.0	0.0	1143.0	0.0
6.0	0.0	6.0	0.0
1356.0	0.0	1356.0	0.0
61.0	0.0	61.0	0.0
0.0	6.0	6.0	1.0
0.0	3932.0	3932.0	1.0
0.0	7.0	7.0	1.0
35.0	0.0	35.0	0.0
89.0	0.0	89.0	0.0
0.0	31.0	31.0	1.0
0.0	5.0	5.0	1.0
0.0	10.0	10.0	1.0
0.0	5.0	5.0	1.0
0.0	34.0	34.0	1.0
0.0	782.0	782.0	1.0
5.0	228.0	233.0	0.978540772532
0.0	15.0	15.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
0.0	5.0	5.0	1.0
59574.0	0.0	59574.0	0.0
32.0	0.0	32.0	0.0
14.0	0.0	14.0	0.0
0.0	37.0	37.0	1.0
296.0	0.0	296.0	0.0
18.0	0.0	18.0	0.0
0.0	19.0	19.0	1.0
10.0	446.0	456.0	0.978070175439
0.0	88.0	88.0	1.0
6.0	0.0	6.0	0.0
5.0	0.0	5.0	0.0
0.0	3112.0	3112.0	1.0
691.0	0.0	691.0	0.0
5.0	0.0	5.0	0.0
207.0	0.0	207.0	0.0
43.0	0.0	43.0	0.0
20.0	0.0	20.0	0.0
5.0	0.0	5.0	0.0
83.0	0.0	83.0	0.0
400.0	0.0	400.0	0.0
0.0	5.0	5.0	1.0
306.0	0.0	306.0	0.0
5.0	0.0	5.0	0.0
244.0	0.0	244.0	0.0
19.0	0.0	19.0	0.0
907.0	0.0	907.0	0.0
21.0	0.0	21.0	0.0
132.0	0.0	132.0	0.0
10089.0	0.0	10089.0	0.0
28.0	0.0	28.0	0.0
8136.0	0.0	8136.0	0.0
82.0	0.0	82.0	0.0
622.0	528687.0	529309.0	0.998824883008
1071.0	0.0	1071.0	0.0
2051.0	0.0	2051.0	0.0
27.0	0.0	27.0	0.0
270.0	0.0	270.0	0.0
17.0	0.0	17.0	0.0
0.0	50.0	50.0	1.0
0.0	22044.0	22044.0	1.0
5.0	0.0	5.0	0.0
8.0	0.0	8.0	0.0
41.0	0.0	41.0	0.0
372.0	0.0	372.0	0.0
0.0	6.0	6.0	1.0
0.0	396.0	396.0	1.0
0.0	123.0	123.0	1.0
111.0	0.0	111.0	0.0
6.0	0.0	6.0	0.0
53.0	0.0	53.0	0.0
5.0	0.0	5.0	0.0
669.0	0.0	669.0	0.0
283.0	0.0	283.0	0.0
0.0	27.0	27.0	1.0
5.0	0.0	5.0	0.0
612.0	0.0	612.0	0.0
53.0	0.0	53.0	0.0
25803.0	26.0	25829.0	0.00100662046537
2144.0	0.0	2144.0	0.0
793.0	0.0	793.0	0.0
312.0	0.0	312.0	0.0
6.0	0.0	6.0	0.0
6073.0	0.0	6073.0	0.0
95.0	0.0	95.0	0.0
269.0	0.0	269.0	0.0
12064.0	0.0	12064.0	0.0
0.0	5.0	5.0	1.0
0.0	11.0	11.0	1.0
10.0	0.0	10.0	0.0
7983.0	0.0	7983.0	0.0
5.0	0.0	5.0	0.0
1436.0	0.0	1436.0	0.0
14839.0	0.0	14839.0	0.0
0.0	36.0	36.0	1.0
10.0	0.0	10.0	0.0
0.0	177.0	177.0	1.0
5.0	0.0	5.0	0.0
0.0	582.0	582.0	1.0
28869.0	0.0	28869.0	0.0
83.0	0.0	83.0	0.0
283.0	0.0	283.0	0.0
5.0	0.0	5.0	0.0
703.0	0.0	703.0	0.0
44.0	0.0	44.0	0.0
42.0	0.0	42.0	0.0
6391.0	0.0	6391.0	0.0
35337.0	0.0	35337.0	0.0
0.0	16.0	16.0	1.0
6.0	0.0	6.0	0.0
880.0	0.0	880.0	0.0
3253.0	150.0	3403.0	0.0440787540406
1446.0	0.0	1446.0	0.0
1463.0	0.0	1463.0	0.0
20.0	0.0	20.0	0.0
8367.0	0.0	8367.0	0.0
55.0	0.0	55.0	0.0
4143.0	0.0	4143.0	0.0
32.0	0.0	32.0	0.0
0.0	224.0	224.0	1.0
16.0	15294.0	15310.0	0.998954931417
189.0	0.0	189.0	0.0
6.0	0.0	6.0	0.0
5.0	0.0	5.0	0.0
5.0	0.0	5.0	0.0
6.0	0.0	6.0	0.0
5.0	0.0	5.0	0.0
0.0	5.0	5.0	1.0
0.0	26.0	26.0	1.0
5.0	0.0	5.0	0.0
0.0	153.0	153.0	1.0
5.0	0.0	5.0	0.0
0.0	13.0	13.0	1.0
0.0	21.0	21.0	1.0
0.0	14.0	14.0	1.0
32.0	0.0	32.0	0.0
967.0	0.0	967.0	0.0
0.0	244.0	244.0	1.0
6.0	0.0	6.0	0.0
5.0	0.0	5.0	0.0
6.0	0.0	6.0	0.0
0.0	11.0	11.0	1.0
20.0	0.0	20.0	0.0
0.0	579.0	579.0	1.0
0.0	30.0	30.0	1.0
0.0	363.0	363.0	1.0
11.0	0.0	11.0	0.0
3785.0	0.0	3785.0	0.0
5.0	0.0	5.0	0.0
630.0	0.0	630.0	0.0
613.0	0.0	613.0	0.0
0.0	1259.0	1259.0	1.0
3219.0	0.0	3219.0	0.0
0.0	5.0	5.0	1.0
50.0	0.0	50.0	0.0
1914.0	34.0	1948.0	0.017453798768
283.0	0.0	283.0	0.0
0.0	22.0	22.0	1.0
32.0	0.0	32.0	0.0
0.0	106.0	106.0	1.0
1810.0	0.0	1810.0	0.0
0.0	3251.0	3251.0	1.0
5.0	0.0	5.0	0.0
0.0	6.0	6.0	1.0
37.0	0.0	37.0	0.0
142.0	0.0	142.0	0.0
5.0	533.0	538.0	0.990706319703
707.0	11.0	718.0	0.0153203342618
115.0	0.0	115.0	0.0
0.0	16.0	16.0	1.0
61.0	0.0	61.0	0.0
0.0	931.0	931.0	1.0
0.0	317.0	317.0	1.0
0.0	12701.0	12701.0	1.0
0.0	12372.0	12372.0	1.0
0.0	5.0	5.0	1.0
0.0	1411.0	1411.0	1.0
0.0	50.0	50.0	1.0
5.0	128.0	133.0	0.962406015038
0.0	46.0	46.0	1.0
0.0	10.0	10.0	1.0
0.0	4752.0	4752.0	1.0
5.0	0.0	5.0	0.0
0.0	10.0	10.0	1.0
0.0	21.0	21.0	1.0
168.0	0.0	168.0	0.0
7.0	0.0	7.0	0.0
16.0	1422.0	1438.0	0.988873435327
17.0	0.0	17.0	0.0
147.0	0.0	147.0	0.0
359.0	0.0	359.0	0.0
15.0	0.0	15.0	0.0
10.0	0.0	10.0	0.0
2290.0	0.0	2290.0	0.0
80814.0	159.0	80973.0	0.00196361750213
3289.0	8.0	3297.0	0.00242644828632
38.0	0.0	38.0	0.0
39428.0	0.0	39428.0	0.0
9213.0	0.0	9213.0	0.0
0.0	839.0	839.0	1.0
0.0	10.0	10.0	1.0
0.0	5.0	5.0	1.0
10.0	0.0	10.0	0.0
5.0	0.0	5.0	0.0
28.0	5960.0	5988.0	0.995323981296
68.0	0.0	68.0	0.0
73.0	4505.0	4578.0	0.984054172128
729.0	0.0	729.0	0.0
27.0	0.0	27.0	0.0
61424.0	17.0	61441.0	0.000276688204945
0.0	47.0	47.0	1.0
0.0	5.0	5.0	1.0
437.0	0.0	437.0	0.0
0.0	5.0	5.0	1.0
111.0	0.0	111.0	0.0
0.0	67.0	67.0	1.0
0.0	262.0	262.0	1.0
46.0	0.0	46.0	0.0
46.0	0.0	46.0	0.0
0.0	64.0	64.0	1.0
0.0	125.0	125.0	1.0
0.0	48.0	48.0	1.0
0.0	124.0	124.0	1.0
48.0	0.0	48.0	0.0
0.0	5.0	5.0	1.0
5.0	0.0	5.0	0.0
27.0	0.0	27.0	0.0
0.0	80.0	80.0	1.0
70.0	0.0	70.0	0.0
5.0	0.0	5.0	0.0
0.0	406.0	406.0	1.0
146.0	0.0	146.0	0.0
2741.0	0.0	2741.0	0.0
0.0	1876.0	1876.0	1.0
0.0	268.0	268.0	1.0
0.0	51.0	51.0	1.0
13.0	0.0	13.0	0.0
10.0	0.0	10.0	0.0
0.0	33.0	33.0	1.0
18.0	0.0	18.0	0.0
588.0	0.0	588.0	0.0
17.0	0.0	17.0	0.0
6.0	0.0	6.0	0.0
0.0	5.0	5.0	1.0
75.0	0.0	75.0	0.0
5.0	0.0	5.0	0.0
69.0	0.0	69.0	0.0
302.0	0.0	302.0	0.0
10.0	0.0	10.0	0.0
0.0	10.0	10.0	1.0
0.0	17.0	17.0	1.0
164.0	0.0	164.0	0.0
34.0	0.0	34.0	0.0
0.0	30.0	30.0	1.0
36.0	0.0	36.0	0.0
0.0	31.0	31.0	1.0
70.0	0.0	70.0	0.0
20.0	0.0	20.0	0.0
6.0	0.0	6.0	0.0
6.0	0.0	6.0	0.0
20.0	0.0	20.0	0.0
141.0	0.0	141.0	0.0
7.0	0.0	7.0	0.0
33.0	0.0	33.0	0.0
8.0	0.0	8.0	0.0
2193.0	33.0	2226.0	0.0148247978437
10.0	0.0	10.0	0.0
10.0	0.0	10.0	0.0
117.0	0.0	117.0	0.0
0.0	954.0	954.0	1.0
0.0	80.0	80.0	1.0
16.0	0.0	16.0	0.0
3247.0	0.0	3247.0	0.0
5.0	0.0	5.0	0.0
5.0	0.0	5.0	0.0
133.0	0.0	133.0	0.0
0.0	5.0	5.0	1.0
114559.0	0.0	114559.0	0.0
18.0	0.0	18.0	0.0
0.0	5.0	5.0	1.0
87.0	0.0	87.0	0.0
0.0	64.0	64.0	1.0
52.0	0.0	52.0	0.0
0.0	15.0	15.0	1.0
41.0	0.0	41.0	0.0
0.0	11529.0	11529.0	1.0
673.0	0.0	673.0	0.0
0.0	105.0	105.0	1.0
0.0	59.0	59.0	1.0
0.0	53.0	53.0	1.0
0.0	11.0	11.0	1.0
162.0	0.0	162.0	0.0
0.0	1038.0	1038.0	1.0
0.0	7.0	7.0	1.0
96.0	0.0	96.0	0.0
5.0	0.0	5.0	0.0
5.0	0.0	5.0	0.0
0.0	13656.0	13656.0	1.0
0.0	6.0	6.0	1.0
